LocomotionID,PrimateID,LMTypeCd,Checked,PctOfTime,CitationID,Comment,OrigIDPhysical,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
377,131,VERT,-1,,,,2588,,,4/23/2015,,
378,131,VERT,-1,,,,2589,,,4/23/2015,,
379,132,BIPE,-1,,2726,,500,,,3/14/2013,,
380,132,CLIM,-1,,2726,,500,,,3/14/2013,,
381,132,LEAP,-1,,2726,,500,,,3/14/2013,,
382,132,QUAD,-1,,2726,,500,,,3/14/2013,,
383,132,VERT,-1,,2726,no data,500,,,3/14/2013,,
384,139,CLIM,-1,,2772,,3393,,,6/13/2009,,
385,139,LEAP,-1,,2772,,3393,,,6/13/2009,,
386,139,QUAD,-1,,2772,,3393,,,6/13/2009,,
387,139,VERT,-1,,2772,,3393,,,6/13/2009,,
388,140,CLIM,-1,,2822,,2263,,,5/20/2009,,
389,140,LEAP,-1,,2822,,2263,,,5/20/2009,,
390,140,QUAD,-1,,2813,,2263,,,5/20/2009,,
391,140,VERT,-1,,2822,,2263,,,5/20/2009,,
392,140,QUAD,-1,,2822,,2264,,,5/20/2009,,
393,142,CLIM,-1,,2899,,2245,,,6/8/2009,,
394,142,LEAP,-1,,2899,,2245,,,6/8/2009,,
395,142,QUAD,-1,,2899,,2245,,,6/8/2009,,
396,142,VERT,-1,,2899,,2245,,,6/8/2009,,
397,143,CLIM,-1,,2940,"Occasional, depending on the substrate, but mostly in quadrupedal fashion.",4295,,,,,
398,143,LEAP,-1,,2940,"Occasional, when crossing gaps in the canopy.",4295,,,,,
399,143,QUAD,-1,90,2940,Approx. 90% of the time.,4295,,,,,
400,143,VERT,-1,5,2940,"~5-10% of time. Common during gum feeding, when using large, vertical trunks, and when moving vertically between forest strata.",4295,,,,,
401,144,QUAD,-1,,2975,,2267,,,6/5/2009,,
402,144,VERT,-1,,2975,,2267,,,6/5/2009,,
403,145,CLIM,-1,,3009,"Occasional, depending on the substrate, but mostly in quadrupedal fashion.",4394,,,,,
404,145,LEAP,-1,,3009,"Occasional, when required for moving between tree crowns.",4394,,,,,
405,145,QUAD,-1,90,3009,~90% of time.,4394,,,,,
406,145,VERT,-1,5,3009,"Approx. 5-10% of time. Primarily during gum feeding, on large, vertical trunks, and when moving between forest strata.",4394,,,,,
407,146,QUAD,-1,,3031,,2767,,,5/18/2009,,
408,146,VERT,-1,,3031,,2767,,,5/17/2009,,
409,148,CLIM,-1,,3053,,2743,,,,,
410,148,LEAP,-1,,3053,,2743,,,,,
411,148,QUAD,-1,,3053,,2743,,,,,
412,148,VERT,-1,,3053,,2743,,,,,
413,150,CLIM,-1,,3067,,3027,,,1/2/2015,,
414,150,QUAD,-1,,3067,,3027,,,1/2/2015,,
415,150,VERT,-1,,3067,,3027,,,6/5/2009,,
416,151,CLIM,-1,,3088,,2763,,,6/9/2009,,
417,151,LEAP,-1,,3088,,2763,,,6/9/2009,,
418,151,QUAD,-1,,3088,,2763,,,6/9/2009,,
1415,531,QUAD,-1,,10871,,4543,,,,,
1417,538,CLIM,-1,,10913,,3301,,,6/4/2009,,
1418,538,LEAP,-1,,10913,,3301,,,6/4/2009,,
1419,538,QUAD,-1,,10913,,3301,,,6/4/2009,,
1420,538,VERT,-1,,10913,,3301,,,6/4/2009,,
1421,540,CLIM,-1,,10931,,686,,,,,
1422,540,LEAP,-1,,10931,,686,,,,,
1423,540,QUAD,-1,,10931,,686,,,,,
1424,540,CLIM,0,,10933,,687,,,,,
1425,540,LEAP,0,,10933,,687,,,,,
1426,540,QUAD,0,,10933,,687,,,,,
1427,541,CLIM,-1,,10936,,3006,,,,,
1428,541,LEAP,-1,,10936,,3006,,,,,
1429,541,QUAD,-1,,10936,,3006,,,,,
1430,541,CLIM,-1,,10938,,3007,,,,,
1431,541,LEAP,-1,,10938,,3007,,,,,
1432,541,QUAD,-1,,10938,,3007,,,,,
1433,542,CLIM,-1,,10941,,150,,,,,
1434,542,LEAP,-1,,10941,,150,,,,,
